ym,country,cust_cnt,rev_total,ARPPU
2010-12,Netherlands,2,8784.480000000001,4392.240000000001
2010-12,Sweden,1,3834.3,3834.3
2010-12,Norway,1,3787.1199999999994,3787.1199999999994
2010-12,Japan,3,7705.0700000000015,2568.356666666667
2010-12,EIRE,4,10033.259999999995,2508.3149999999987
2010-12,Lithuania,1,1661.06,1661.06
2010-12,Cyprus,1,1590.82,1590.82
2010-12,Denmark,1,1281.5000000000002,1281.5000000000002
2010-12,"United Kingdom",816,748268.9799999759,916.9962990195783
2010-12,Finland,1,892.8000000000001,892.8000000000001
2010-12,Germany,18,15241.140000000001,846.73
2010-12,Iceland,1,711.7900000000001,711.7900000000001
2010-12,Switzerland,2,1304.9199999999996,652.4599999999998
2010-12,France,15,9616.30999999999,641.0873333333327
2010-12,Australia,2,1032.85,516.425
2010-12,Spain,4,1843.73,460.9325
2010-12,Belgium,4,1809.9100000000012,452.4775000000003
2010-12,Portugal,6,2439.969999999999,406.66166666666646
2010-12,Italy,2,811.5000000000001,405.75000000000006
2010-12,"Channel Islands",1,363.53,363.53
2010-12,Austria,1,277.2,277.2
2010-12,Poland,1,248.16,248.16
2010-12,Bahrain,1,205.74,205.74
2011-01,Netherlands,2,26611.160000000007,13305.580000000004
2011-01,EIRE,2,21904.19,10952.095
2011-01,Greece,1,2661.24,2661.24
2011-01,"Hong Kong",1,2439.76,2439.76
2011-01,Singapore,1,2053.07,2053.07
2011-01,Sweden,2,3486.3199999999997,1743.1599999999999
2011-01,Lebanon,1,1693.88,1693.88
2011-01,Spain,7,10086.090000000004,1440.8700000000006
2011-01,Switzerland,3,4231.229999999998,1410.4099999999992
2011-01,Australia,7,9017.709999999995,1288.244285714285
2011-01,Portugal,4,4055.709999999999,1013.9274999999998
2011-01,"United Kingdom",648,561289.9800000055,866.1882407407492
2011-01,Italy,3,2402.5099999999993,800.8366666666665
2011-01,France,24,17740.120000000017,739.1716666666674
2011-01,"Channel Islands",1,675.58,675.58
2011-01,Poland,1,613.22,613.22
2011-01,Germany,28,16910.840000000033,603.9585714285726
2011-01,Cyprus,1,547.5,547.5
2011-01,Iceland,1,475.39,475.39
2011-01,Finland,2,889.02,444.51
2011-01,Belgium,3,1200.2,400.06666666666666
2011-01,Israel,1,379.84,379.84
2011-02,Netherlands,2,23011.910000000007,11505.955000000004
2011-02,EIRE,3,12248.740000000003,4082.9133333333343
2011-02,Australia,4,14695.419999999998,3673.8549999999996
2011-02,Japan,2,5780.8099999999995,2890.4049999999997
2011-02,"Channel Islands",1,1784.7099999999998,1784.7099999999998
2011-02,Cyprus,4,4334.239999999999,1083.5599999999997
2011-02,"United Arab Emirates",1,889.24,889.24
2011-02,Israel,1,779.1,779.1
2011-02,Switzerland,4,2654.9199999999996,663.7299999999999
2011-02,"United Kingdom",680,430027.9500000217,632.394044117679
2011-02,Portugal,2,1213.9,606.95
2011-02,Germany,17,9581.049999999994,563.5911764705879
2011-02,"Czech Republic",1,549.26,549.26
2011-02,Spain,4,2114.500000000002,528.6250000000005
2011-02,Sweden,1,509.5,509.5
2011-02,France,17,8515.959999999994,500.93882352941137
2011-02,Denmark,1,399.22,399.22
2011-02,Norway,2,630.9000000000001,315.45000000000005
2011-02,Belgium,7,2181.0700000000006,311.58142857142866
2011-02,Poland,2,604.0500000000001,302.02500000000003
2011-02,Austria,2,518.3600000000001,259.18000000000006
2011-02,Italy,1,256,256
2011-02,Finland,1,205.15999999999997,205.15999999999997
2011-02,"Saudi Arabia",1,145.92,145.92
2011-03,Finland,1,5936.8200000000015,5936.8200000000015
2011-03,Australia,3,17223.99000000001,5741.330000000003
2011-03,Netherlands,4,22416.489999999994,5604.122499999999
2011-03,EIRE,4,22197.51000000005,5549.377500000012
2011-03,Denmark,1,3978.9899999999993,3978.9899999999993
2011-03,"Hong Kong",1,2583.76,2583.76
2011-03,Sweden,2,4720.58,2360.29
2011-03,Norway,1,1265.3100000000002,1265.3100000000002
2011-03,"Channel Islands",3,3509.330000000001,1169.7766666666669
2011-03,Cyprus,1,938.3900000000002,938.3900000000002
2011-03,France,17,14589.550000000028,858.2088235294134
2011-03,Austria,2,1708.12,854.06
2011-03,Spain,8,5363.150000000001,670.3937500000001
2011-03,"United Kingdom",881,586230.2800000188,665.4146197503051
2011-03,Portugal,4,2660.849999999999,665.2124999999997
2011-03,Switzerland,3,1870.2299999999998,623.41
2011-03,Italy,3,1806.8100000000009,602.2700000000003
2011-03,Germany,24,14392.690000000006,599.6954166666669
2011-03,Belgium,8,3351.979999999998,418.9974999999998
2011-03,Greece,1,387.31,387.31
2011-03,Poland,1,317.78,317.78
2011-03,Canada,1,140.54,140.54
2011-03,Japan,3,48.9,16.3
2011-04,Singapore,1,8209.579999999998,8209.579999999998
2011-04,EIRE,2,7570.499999999997,3785.2499999999986
2011-04,Japan,2,6548.5,3274.25
2011-04,Netherlands,1,2976.5600000000004,2976.5600000000004
2011-04,"Hong Kong",1,1539.6399999999996,1539.6399999999996
2011-04,Brazil,1,1143.6000000000001,1143.6000000000001
2011-04,Switzerland,2,2076.9399999999996,1038.4699999999998
2011-04,Portugal,2,1687.7500000000007,843.8750000000003
2011-04,Poland,1,705.8399999999999,705.8399999999999
2011-04,Germany,19,12315.540000000008,648.1863157894741
2011-04,Iceland,1,636.25,636.25
2011-04,Greece,1,609.74,609.74
2011-04,"United Kingdom",785,476517.76100002456,607.0289949044899
2011-04,Spain,3,1785.6500000000008,595.2166666666669
2011-04,Finland,4,1688.9199999999996,422.2299999999999
2011-04,Sweden,2,809.1000000000001,404.55000000000007
2011-04,France,14,5529.609999999996,394.97214285714256
2011-04,Australia,2,771.6000000000001,385.80000000000007
2011-04,USA,1,383.95,383.95
2011-04,Italy,2,737.8299999999999,368.91499999999996
2011-04,Austria,2,680.78,340.39
2011-04,Belgium,6,1989.4799999999996,331.5799999999999
2011-04,Unspecified,1,299.1,299.1
2011-04,"Channel Islands",1,293,293
2011-04,"European Community",1,191.40000000000003,191.40000000000003
2011-04,Israel,1,110,110
2011-05,Netherlands,4,29185.87999999999,7296.4699999999975
2011-05,Australia,2,13638.410000000002,6819.205000000001
2011-05,EIRE,4,18008.760000000028,4502.190000000007
2011-05,Portugal,1,4202.2300000000005,4202.2300000000005
2011-05,"Hong Kong",1,1966.1600000000005,1966.1600000000005
2011-05,Japan,1,1351.4499999999998,1351.4499999999998
2011-05,Sweden,2,2681.98,1340.99
2011-05,Switzerland,3,3610.01,1203.3366666666668
2011-05,Spain,3,3257.600000000001,1085.866666666667
2011-05,Germany,27,25751.20000000002,953.7481481481489
2011-05,"United Kingdom",963,638898.390000023,663.4458878504911
2011-05,France,28,17614.87999999999,629.1028571428568
2011-05,Austria,2,1249.4299999999998,624.7149999999999
2011-05,"Channel Islands",2,1207.24,603.62
2011-05,Italy,1,587.45,587.45
2011-05,Canada,1,534.24,534.24
2011-05,Unspecified,2,1055.8700000000003,527.9350000000002
2011-05,Denmark,1,515.7,515.7
2011-05,Poland,3,1522.3700000000001,507.4566666666667
2011-05,Belgium,7,2732.4000000000005,390.3428571428572
2011-05,Bahrain,2,548.4,274.2
